year,region,total,detained,nc,dc,rc,nn,dn,rn,total_year,detained_year,pct_criminal_detained,pct_noncriminal_detained,pct_detained,pct_all_proceedings,pct_all_detained
2014,ASIA,15590.0,7044.0,384.0,1197.0,173.0,8162.0,1314.0,4360.0,204655.0,126599.0,0.7810718358038768,0.41008962127782594,0.45182809493264914,0.07617698077251961,0.05564024992298517
2014,EUROPE,3332.0,1471.0,202.0,553.0,73.0,1659.0,311.0,534.0,204655.0,126599.0,0.7560386473429952,0.33746006389776356,0.4414765906362545,0.016281058366519264,0.011619365081872685
2014,OCEANIA,258.0,182.0,23.0,113.0,13.0,53.0,45.0,11.0,204655.0,126599.0,0.8456375838926175,0.5137614678899083,0.7054263565891473,0.0012606581808409273,0.0014376100917068855
2014,OTHERS,410.0,374.0,3.0,5.0,2.0,33.0,314.0,53.0,204655.0,126599.0,0.7,0.9175,0.9121951219512195,0.0020033715276929465,0.0029542097488921715
ALL,AFRICA,111666.0,32130.0,1930.0,9343.0,1244.0,77606.0,10084.0,11459.0,2644934.0,1528439.0,0.8458096988096189,0.21727904467014292,0.28773306109290203,0.04221882285153429,0.0210214473721228
ALL,CARIBBEAN,171819.0,78406.0,16090.0,45973.0,3515.0,77323.0,14854.0,14064.0,2644934.0,1528439.0,0.754643325505505,0.2721924680678834,0.4563290439357696,0.0649615453542508,0.0512980890961301
ALL,CENTRAL AMERICA,1804280.0,1227171.0,20052.0,209455.0,14415.0,557057.0,703105.0,300196.0,2644934.0,1528439.0,0.9177933929698838,0.6429941077624494,0.6801444343450019,0.6821644698884736,0.8028917084685748
ALL,SOUTH AMERICA,181787.0,68751.0,3920.0,14827.0,1383.0,109116.0,26649.0,25892.0,2644934.0,1528439.0,0.8052657724788872,0.3250153101938054,0.3781953605043265,0.06873025943180434,0.04498118668785604
ALL,NORTH AMERICA,11532.0,4790.0,2686.0,2844.0,223.0,4056.0,1325.0,398.0,2644934.0,1528439.0,0.5331131583521641,0.2981484685931822,0.4153659382587582,0.004360033180412063,0.0031339163682685407
ALL,ASIA,283221.0,85784.0,7433.0,21761.0,2818.0,190004.0,17758.0,43447.0,2644934.0,1528439.0,0.7678058228164438,0.24364174850423354,0.3028871446679448,0.10708055475108263,0.05612523627046941
ALL,EUROPE,68691.0,24126.0,3791.0,9903.0,1325.0,40774.0,6214.0,6684.0,2644934.0,1528439.0,0.7475863905719422,0.24031152183633925,0.3512250513167664,0.02597078036729839,0.015784732004352153
ALL,OCEANIA,5529.0,2614.0,389.0,1516.0,199.0,2526.0,492.0,407.0,2644934.0,1528439.0,0.8151140684410646,0.26248175182481753,0.4727798878639899,0.002090411329734504,0.0017102416256062558
ALL,OTHERS,6409.0,4667.0,41.0,132.0,23.0,1701.0,3932.0,580.0,2644934.0,1528439.0,0.7908163265306123,0.7262192177691936,0.7281947261663286,0.002423122845409375,0.0030534421066198913
